id,heure,commune,sex,categorie
1,18:43,Abobo,Femme,Adolescent
2,18:43,Abobo,Femme,Adolescent
3,Non précisée,Yopougon,Femme,Adulte
4,Non précisée,Abobo,Femme,Adulte
5,Non précisée,Yopougon,Non précisé,Adolescent
6,Non précisée,Cocody,Femme,Enfant
7,18:43,Abobo,Femme,Enfant
8,Non précisée,Abobo,Femme,Adulte
9,Non précisée,Abobo,Femme,Enfant
10,Non précisée,Abobo,Homme,Adolescent
11,Non précisée,Yopougon,Non précisé,Non précisé
12,18:43,Yopougon,Homme,Adolescent
13,Non précisée,Cocody,Non précisé,Non précisé
14,18:43,Treichville,Homme,Adolescent
15,Non précisée,Abobo,Non précisé,Non précisé
16,00:00,Treichville,Non précisé,Non précisé
17,Non précisée,Cocody,Non précisé,Non précisé
18,Non précisée,Treichville,Non précisé,Non précisé
19,Non précisée,Cocody,Non précisé,Non précisé
20,Non précisée,Cocody,Non précisé,Non précisé
21,Non précisée,Abobo,Homme,Adulte
22,Non précisée,Yopougon,Homme,Adolescent
23,Non précisée,Yopougon,Femme,Enfant
24,10:37,Abobo,Femme,Adulte
25,9:00,Abobo,Non précisé,Non précisé
26,12:10,Abobo,Homme,Adulte
27,23:47,Abobo,Non précisé,Non précisé
28,14:18,Abobo,Non précisé,Non précisé
29,19:30,Abobo,Homme,Adolescent
30,11:27,Abobo,Homme,Adulte
31,18:58,Abobo,Non précisé,Adolescent
32,12:46,Abobo,Homme,Adulte
33,11:18,Abobo,Homme,Adulte
34,8:27,Abobo,Non précisé,Adolescent
35,9:45,Abobo,Non précisé,Adolescent
36,11:46,Abobo,Femme,Adolescent
37,13:20,Abobo,Homme,Adulte
38,23:18,Abobo,Non précisé,Non précisé
39,17:24,Abobo,Homme,Enfant
40,15:27,Abobo,Multiple,Non précisé
41,13:22,Abobo,Non précisé,Non précisé
42,23:49,Abobo,Non précisé,Non précisé
43,18:52,Abobo,Homme,Adolescent
44,19:29,Abobo,Non précisé,Non précisé
45,20:56,Abobo,Non précisé,Non précisé
46,18:55,Abobo,Femme,Adulte
47,18:43,Abobo,Homme,Adulte
48,17:26,Abobo,Non précisé,Non précisé
49,9:41,Abobo,Non précisé,Non précisé
50,13:37,Abobo,Non précisé,Non précisé
51,19:04,Abobo,Femme,Adulte
52,16:12,Abobo,Non précisé,Non précisé
53,13:45,Abobo,Multiple,Non précisé
54,11:15,Abobo,Non précisé,Non précisé
55,11:45,Abobo,Femme,Adulte
56,10:29,Abobo,Femme,Adulte
57,11:02,Abobo,Multiple,Non précisé
58,14:39,Abobo,Non précisé,Non précisé
59,11:35,Abobo,Homme,Adulte
60,9:04,Abobo,Non précisé,Non précisé
61,12:31,Abobo,Femme,Adulte
62,13:02,Abobo,Femme,Adulte
63,12:27,Abobo,Non précisé,Non précisé
64,21:20,Abobo,Homme,Adulte
65,14:22,Abobo,Non précisé,Adolescent
66,13:43,Abobo,Non précisé,Enfant
67,18:43,Abobo,Non précisé,Non précisé
68,17:50,Abobo,Femme,Adulte
69,12:15,Abobo,Femme,Adulte
70,15:57,Abobo,Non précisé,Non précisé
71,17:18,Abobo,Non précisé,Non précisé
72,12:58,Abobo,Non précisé,Non précisé
73,16:42,Abobo,Homme,Adulte
74,12:21,Abobo,Femme,Adolescent
75,15:39,Abobo,Non précisé,Non précisé
76,15:30,Abobo,Non précisé,Non précisé
77,12:03,Abobo,Homme,Adulte
78,8:32,Abobo,Femme,Adolescent
79,15:22,Abobo,Femme,Adulte
80,16:50,Abobo,Femme,Adolescent
81,9:38,Abobo,Homme,Adolescent
82,17:28,Abobo,Non précisé,Adolescent
83,12:23,Abobo,Femme,Enfant
84,Non précisée,Abobo,Femme,Adulte
85,Non précisée,Abobo,Femme,Adolescent
86,Non précisée,Abobo,Multiple,Non précisé
87,Non précisée,Abobo,Multiple,Enfant
88,Non précisée,Abobo,Non précisé,Enfant
89,Non précisée,Abobo,Non précisé,Non précisé
90,16:30,Yopougon,Multiple,Non précisé
91,10:51,Yopougon,Multiple,Non précisé
92,9:00,Koumassi,Non précisé,Non précisé
93,17:44,Abobo,Non précisé,Non précisé
95,13:41,Treichville,Femme,Adolescent
96,16:53,Treichville,Homme,Adulte
97,12:53,Yopougon,Homme,Adulte
98,23:24,Abobo,Non précisé,Adolescent
99,17:16,Abobo,Femme,Adulte
100,8:59,Treichville,Homme,Adolescent
101,15:41,Abobo,Femme,Adulte
102,15:58,Abobo,Femme,Adulte
104,14:16,Abobo,Non précisé,Enfant
105,17:22,Koumassi,Multiple,Non précisé
106,19:41,Treichville,Femme,Adulte
107,17:00,Yopougon,Femme,Adulte
108,11:34,Treichville,Non précisé,Adolescent
109,10:16,Abobo,Non précisé,Adolescent
110,14:23,Yopougon,Homme,Adulte
111,17:51,Abobo,Homme,Enfant
112,Non précisée,Abobo,Non précisé,Non précisé
115,Non précisée,Abobo,Femme,Enfant
116,Non précisée,Abobo,Femme,Enfant
118,22:04,Treichville,Non précisé,Adolescent
119,12:00,Treichville,Non précisé,Non précisé
120,8:58,Treichville,Homme,Adulte
121,15:33,Treichville,Non précisé,Non précisé
122,15:23,Treichville,Non précisé,Non précisé
123,18:12,Treichville,Femme,Enfant
124,14:26,Treichville,Non précisé,Non précisé
125,8:30,Treichville,Non précisé,Enfant
126,13:36,Treichville,Non précisé,Non précisé
127,9:54,Treichville,Non précisé,Non précisé
128,13:13,Treichville,Non précisé,Non précisé
129,18:56,Treichville,Non précisé,Non précisé
130,17:14,Treichville,Femme,Adulte
131,15:05,Treichville,Homme,Enfant
132,11:41,Abobo,Non précisé,Adolescent
133,11:34,Treichville,Multiple,Enfant
134,13:25,Treichville,Multiple,Non précisé
135,14:42,Treichville,Femme,Enfant
136,19:52,Treichville,Non précisé,Non précisé
137,16:26,Treichville,Femme,Adulte
138,12:41,Treichville,Femme,Adulte
139,11:39,Treichville,Multiple,Non précisé
